,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,0,313.664,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Chase,Aggressive,,POINT
1,1,320.439,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Chase,Aggressive,,POINT
2,2,324.589,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
3,3,327.864,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
4,4,330.014,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
5,5,330.014,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lateral Side Display,Aggressive,,POINT
6,6,339.713,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Scrape,Aggressive,,POINT
7,7,340.313,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
8,8,340.313,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lateral Side Display,Aggressive,,POINT
9,9,340.713,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Scrape,Aggressive,,POINT
10,10,341.739,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
11,11,345.414,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
12,12,374.664,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Dig Substrate,Reproductive,,POINT
13,13,377.964,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lead,Reproductive,,POINT
14,14,379.214,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Charge,Aggressive,,POINT
15,15,379.489,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Chase,Aggressive,,POINT
16,16,385.864,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Foraging,Reproductive,,POINT
17,17,390.839,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Border Fight,Aggressive,,POINT
18,18,392.064,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lead,Reproductive,,POINT
19,19,394.314,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lead,Reproductive,,POINT
20,20,396.139,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Lead,Reproductive,,POINT
21,21,399.664,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi",2109.103,59.94,Dominant,Foraging,Reproductive,,POINT
