,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,0,300.506,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Pot Dig,Reproductive,,POINT
1,1,301.305,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Pot Dig,Reproductive,,POINT
2,2,303.709,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Pot Exit,Reproductive,,POINT
3,3,310.114,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
4,4,311.416,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
5,5,312.417,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
6,6,316.221,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
7,7,319.024,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
8,8,321.225,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
9,9,326.433,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
10,10,331.638,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
11,11,332.437,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
12,12,337.243,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
13,13,344.048,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
14,14,345.75,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
15,15,347.651,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
16,16,349.054,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
17,17,349.151,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
18,18,352.658,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
19,19,353.563,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
20,20,354.36,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
21,21,355.861,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
22,22,363.768,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
23,23,364.569,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
24,24,367.071,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
25,25,373.812,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
26,26,376.663,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
27,27,383.438,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
28,28,383.438,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
29,29,383.988,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
30,30,388.393,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
31,31,391.696,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
32,32,396.001,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
33,33,402.505,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
34,34,405.111,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
35,35,408.613,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
36,36,414.718,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
37,37,416.822,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
