Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,301.051,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Charge,Aggressive,,POINT
1,304.051,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Biting,Aggressive,,POINT
2,308.701,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Dig Substrate,Reproductive,,POINT
3,310.726,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Lead,Reproductive,,POINT
4,313.301,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Chase,Aggressive,,POINT
5,315.176,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Lateral Side Display,Aggressive,,POINT
6,319.401,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Biting,Aggressive,,POINT
7,319.401,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Chase,Aggressive,,POINT
8,323.701,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Charge,Aggressive,,POINT
9,323.701,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/3.avi",2227.23,59.94,Dominant,Scrape,Aggressive,,POINT
