,Behavior,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,prob_1,prob_2,prob_3,avg,stderr
0,Biting,Aggressive,0.1297402527287919,0.028696265995765018,0.10063415329597582,0.10152518760814952,0.0,0.04185480376890504,0.16527442653451088,0.05525879873480859,0.08854738342182762,0.1827501463882038,0.07039187268240941,0.06336601850313027,0.1376123208343609,0.05867060779604661,0.08704358716988704,0.009929937039956432
1,Charge,Aggressive,0.005744990996655983,0.0009477094608047392,0.12932395797850174,0.05365512381887365,0.08244397011739596,0.2437869097599397,0.0029474886885120666,0.05894894017449136,0.0008898399230061267,0.04139459162127169,0.0464043796716915,0.08266965819068182,0.06641182264650229,0.14188361352299994,0.06747701149354729,0.012959392095998688
2,Chase,Aggressive,0.018886380020515382,0.2852286919220254,0.2473785537125775,0.04245178791972127,0.2158484525080043,0.19130782704667404,0.18604688640943173,0.010676024135069287,0.06739346161581879,0.11945111077594642,0.07923021928958303,0.19094565398038887,0.18568767922313995,0.010975060040643131,0.13237690066855154,0.020560533915347342
3,Entry/Exit Pot,Reproductive,0.17258473782325512,0.01731144455103248,0.035124387422281814,0.0068509047435376435,0.0368729989327641,0.025630665537516188,0.0849375770353734,0.0948665760842398,0.0043406014675156125,0.07592446368685345,0.014822006292439778,0.05339371779956787,0.04384386663699608,0.055637908738222906,0.05098685594358772,0.009949006394704621
4,Foraging,Reproductive,0.01336369381643331,0.19666238302955735,0.18722595207337758,0.3376084003034468,0.3084375667022411,0.14904392166603292,0.10185229436209435,0.06649920397822039,0.34860670238954683,0.08005660343879245,0.13806202865814146,0.1627738075452885,0.12055122669560116,0.005248106410493323,0.15352215861825486,0.022676382933484875
5,Lead,Reproductive,0.43213828628411155,0.17559412840051414,0.10847482160017338,0.18524492443634102,0.07566702241195351,0.071319673010926,0.09907929878221577,0.23664233236047952,0.19642468302915744,0.10694989087424751,0.1178082725277416,0.13048196775801882,0.12012111991066653,0.46248808424164045,0.19321755049033615,0.02756725620316119
6,Pot Dig,Reproductive,0.02539038309467327,0.026514869047403525,0.01882707215330241,0.016992848543744405,0.005923159018142962,0.009716163278747093,0.06916929054658578,0.045780417975315985,0.01854978255437251,0.07255698049931696,0.022800219206128965,0.02296105478920823,0.021045906999182976,0.025534084611121353,0.02644675776190962,0.0034492809934557503
7,Quiver,Reproductive,0.07876258800887907,0.007286285724628474,0.001306505975319411,0.014097535644574432,0.010939167556029883,0.012450063472564638,0.0194637615601684,0.07550708198302189,0.01308607677556589,0.02923605319658606,0.005510753062070371,0.004862888482632552,0.0052325825439896445,0.18695584703491588,0.03494146261354347,0.011723992696938903
8,Scrape,Aggressive,0.12338868722668439,0.10247570091766332,0.057856829581776265,0.03782997355703232,0.12513127001067195,0.0161443409389895,0.09240465952171167,0.05597038554562201,0.05276263159906839,0.09648313430452286,0.04123356301758951,0.11301312946651164,0.041585806016089806,0.05179530759283198,0.07169338257604295,0.007412066696123311
9,Dig Substrate,Reproductive,0.0,0.1521526181469349,0.09642079395949109,0.20112795869309105,0.08825827107790808,0.20770167501260078,0.16704158604232935,0.29940584445523344,0.20815494517732827,0.15491476214134836,0.46063330542256997,0.13410725167580717,0.22517355211278475,0.0,0.16657763836036846,0.02684275410771776
10,Frontal Side Display,Aggressive,0.0,0.0049926695505801534,0.0036724734808127133,0.001392555339047125,0.0,0.0011385162985968825,0.0002784109790619252,0.0,0.0,0.005960883297549645,0.0,0.00943105645116611,0.020312770433953544,0.0,0.003953675503923989,0.0012967030629598352
11,Lateral Side Display,Aggressive,0.0,0.0021372332530905525,0.013659272383369496,0.0005549071434972457,0.021556029882604157,0.0250304999862322,0.009672141897351515,0.00044439457349783784,0.0012438920467925693,0.031660330571180235,0.003103380169634437,0.029998892028142616,0.012421345946732361,0.0008113800110843941,0.009771823219489124,0.002372297039185043
12,Border Fight,Aggressive,0.0,0.0,9.522638304075501e-05,0.0006678922489433766,0.028922091782284033,0.004874940222274898,0.0018321776406531297,0.0,0.0,0.002661049204180512,0.0,0.0019949033294553997,0.0,0.0,0.0019911955805578013,0.0013095826896820457
