,Behavior,Behavior next,Behavioral category,Counts_0,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5,Counts_6,Counts_7,Counts_8,Counts_9,Counts_10,Counts_11,Counts_12,Counts_13,avg,stderr
0,Biting,Biting,Aggressive,1.0,4.0,5.0,15.0,0.0,3.0,25.0,9.0,11.0,42.0,11.0,2.0,11.0,1.0,10.0,3.068807979913767
1,Biting,Charge,Aggressive,2.0,0.0,10.0,4.0,0.0,4.0,7.0,0.0,0.0,22.0,15.0,4.0,12.0,1.0,5.785714285714286,1.7949213194931735
2,Biting,Chase,Aggressive,4.0,11.0,13.0,15.0,0.0,4.0,27.0,1.0,17.0,18.0,23.0,14.0,9.0,0.0,11.142857142857142,2.2939412383545372
3,Biting,Entry/Exit Pot,Aggressive,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.8571428571428571,0.2938404825740865
4,Biting,Lead,Aggressive,14.0,3.0,4.0,26.0,0.0,2.0,26.0,20.0,24.0,27.0,6.0,5.0,10.0,1.0,12.0,2.801098685543557
5,Biting,Quiver,Aggressive,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,3.0,1.2857142857142858,0.38414413830656124
6,Biting,Scrape,Aggressive,1.0,0.0,3.0,12.0,0.0,0.0,14.0,8.0,17.0,13.0,4.0,2.0,3.0,1.0,5.571428571428571,1.6025881735502543
7,Charge,Biting,Aggressive,6.0,2.0,20.0,25.0,0.0,7.0,18.0,4.0,12.0,48.0,29.0,9.0,18.0,1.0,14.214285714285714,3.5706043004852326
8,Charge,Chase,Aggressive,1.0,1.0,15.0,2.0,1.0,28.0,5.0,1.0,0.0,14.0,17.0,8.0,16.0,2.0,7.928571428571429,2.3097126164279955
9,Charge,Lead,Aggressive,2.0,1.0,5.0,4.0,0.0,13.0,1.0,3.0,1.0,4.0,5.0,4.0,9.0,3.0,3.9285714285714284,0.9285714285714286
10,Charge,Scrape,Aggressive,1.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,8.0,2.0,0.0,2.0714285714285716,0.6831109004801402
