,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,prob_1,prob_2,prob_3,avg,stderr
0,Biting,Biting,Aggressive,0.007246376811594203,0.008733624454148471,0.009398496240601505,0.018072289156626505,0.0,0.004464285714285714,0.039936102236421724,0.018367346938775512,0.015580736543909348,0.05622489959839357,0.022222222222222223,0.0031948881789137383,0.020522388059701493,0.009900990099009901,0.015143450976246453,0.002730684197902361
1,Biting,Charge,Aggressive,0.014492753623188406,0.0,0.01879699248120301,0.004819277108433735,0.0,0.005952380952380952,0.011182108626198083,0.0,0.0,0.029451137884872823,0.030303030303030304,0.006389776357827477,0.022388059701492536,0.009900990099009901,0.011853063036901028,0.0021954535824522505
2,Biting,Chase,Aggressive,0.028985507246376812,0.024017467248908297,0.024436090225563915,0.018072289156626505,0.0,0.005952380952380952,0.04313099041533546,0.0020408163265306124,0.024079320113314446,0.024096385542168676,0.046464646464646465,0.02236421725239617,0.016791044776119403,0.0,0.020980109913227518,0.002920399901858956
3,Biting,Entry/Exit Pot,Aggressive,0.014492753623188406,0.0,0.001879699248120301,0.0,0.0,0.0,0.004792332268370607,0.0020408163265306124,0.0,0.004016064257028112,0.00202020202020202,0.0015974440894568692,0.0,0.0,0.002310427764266569,0.0008903461451908925
4,Biting,Lead,Aggressive,0.10144927536231885,0.006550218340611353,0.007518796992481204,0.03132530120481928,0.0,0.002976190476190476,0.04153354632587859,0.04081632653061224,0.0339943342776204,0.03614457831325301,0.012121212121212121,0.007987220447284346,0.018656716417910446,0.009900990099009901,0.02484020172249317,0.005948208447256488
5,Biting,Quiver,Aggressive,0.007246376811594203,0.0,0.0,0.0024096385542168677,0.0,0.001488095238095238,0.0,0.00816326530612245,0.00141643059490085,0.00535475234270415,0.0,0.0015974440894568692,0.0018656716417910447,0.0297029702970297,0.004639397557727277,0.0018133914067382868
6,Biting,Scrape,Aggressive,0.007246376811594203,0.0,0.005639097744360903,0.014457831325301205,0.0,0.0,0.022364217252396165,0.0163265306122449,0.024079320113314446,0.01740294511378849,0.00808080808080808,0.0031948881789137383,0.005597014925373134,0.009900990099009901,0.008563955791930289,0.0014947838544303402
7,Charge,Biting,Aggressive,0.043478260869565216,0.004366812227074236,0.03759398496240602,0.030120481927710843,0.0,0.010416666666666666,0.02875399361022364,0.00816326530612245,0.0169971671388102,0.0642570281124498,0.05858585858585859,0.014376996805111822,0.033582089552238806,0.009900990099009901,0.026936321404191988,0.004068382319694687
8,Charge,Chase,Aggressive,0.007246376811594203,0.002183406113537118,0.028195488721804517,0.0024096385542168677,0.00641025641025641,0.041666666666666664,0.007987220447284345,0.0020408163265306124,0.0,0.018741633199464525,0.03434343434343434,0.012779552715654953,0.029850746268656716,0.019801980198019802,0.015930356386547252,0.002784240024676543
9,Charge,Lead,Aggressive,0.014492753623188406,0.002183406113537118,0.009398496240601505,0.004819277108433735,0.0,0.019345238095238096,0.001597444089456869,0.006122448979591836,0.00141643059490085,0.00535475234270415,0.010101010101010102,0.006389776357827477,0.016791044776119403,0.0297029702970297,0.010072444697153942,0.0017897145926068802
10,Charge,Scrape,Aggressive,0.007246376811594203,0.0,0.009398496240601505,0.0024096385542168677,0.0,0.004464285714285714,0.001597444089456869,0.0020408163265306124,0.0,0.008032128514056224,0.0,0.012779552715654953,0.0037313432835820895,0.0,0.003966613175255848,0.0009220591087399989
11,Chase,Biting,Aggressive,0.007246376811594203,0.015283842794759825,0.02067669172932331,0.021686746987951807,0.0,0.005952380952380952,0.039936102236421724,0.0020408163265306124,0.026912181303116147,0.012048192771084338,0.030303030303030304,0.01916932907348243,0.027985074626865673,0.009900990099009901,0.017790629020071305,0.002203167912345374
12,Chase,Chase,Aggressive,0.014492753623188406,0.06768558951965066,0.07142857142857144,0.00963855421686747,0.04487179487179487,0.05952380952380952,0.03035143769968051,0.006122448979591836,0.007082152974504249,0.024096385542168676,0.028282828282828285,0.05910543130990416,0.03731343283582089,0.009900990099009901,0.034897469646510554,0.005073857465450414
