	Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
0	304.244	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Chase	Aggressive		POINT
1	305.395	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Scrape	Aggressive		POINT
2	316.319	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
3	317.322	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
4	319.824	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Chase	Aggressive		POINT
5	322.629	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
6	322.927	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
7	323.929	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
8	324.929	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
9	331.536	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
10	337.242	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
11	345.147	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
12	348.254	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
13	349.754	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
14	351.256	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
15	351.958	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
16	353.258	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
17	357.861	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
18	359.97	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
19	362.668	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
20	367.275	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
21	369.573	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
22	378.283	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
23	379.282	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
24	395.698	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
25	396.501	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
26	396.999	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Foraging	Reproductive		POINT
27	401.307	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/15.avi	5199.23	29.97	Dominant	Dig Substrate	Reproductive		POINT
