Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1453.830	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1454.579	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1458.580	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1466.830	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1467.831	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1468.331	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b follow			POINT
1470.082	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1471.579	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b circle			POINT
1512.831	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1513.832	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1515.572	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1518.330	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1531.331	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1670.581	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1671.831	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1861.512	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1872.262	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1873.761	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1879.012	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1882.762	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1886.261	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
1937.762	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1939.262	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1942.521	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1946.021	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
1977.271	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2017.770	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2022.771	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2028.271	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2029.269	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2031.020	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2031.771	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	b flee			POINT
2084.520	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2092.521	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2096.271	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2096.772	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2127.532	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2128.792	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2143.791	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2177.539	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2533.791	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2534.790	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2535.291	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2547.290	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2817.291	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2819.792	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2820.290	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2839.751	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	b follow			POINT
2858.751	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2933.251	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2936.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	b flee			POINT
2962.251	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2966.750	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2968.250	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
2969.751	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	b flee			POINT
3104.001	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
3107.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
3115.250	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
3179.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	b flee			POINT
3181.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	blue female 1	y flee			POINT
