Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1513.149	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1531.148	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1664.906	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1671.409	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1671.409	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1860.899	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1862.149	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1863.400	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1865.149	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y circle			POINT
1872.150	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1873.650	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1880.150	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1882.900	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1886.400	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
1886.400	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b peck			POINT
1938.338	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1942.848	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1946.595	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
1977.347	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2017.847	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2028.596	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2031.847	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
2084.436	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2092.741	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2096.991	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH030237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2128.040	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2128.541	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2143.790	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2533.789	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2534.291	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2546.791	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2547.789	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2816.767	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2820.021	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH040237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2839.252	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	b follow			POINT
2859.250	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2933.499	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2961.999	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2966.751	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2967.251	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
2969.750	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
3104.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
3107.501	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
3115.500	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	y flee			POINT
3179.499	E:/Yael female GFP 7-27-21/Blue (1 & 2)/Blue 1/GH050237.MP4	3825.740	59.94	yellow female 1	b flee			POINT
