Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
2255.546	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b flee			POINT
2262.047	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2267.665	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y circle			POINT
2268.174	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y follow			POINT
2380.925	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2460.425	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2461.426	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2462.176	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2503.675	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y flee			POINT
2509.425	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	y follow			POINT
2525.174	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2526.427	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b peck			POINT
2526.677	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2528.676	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2530.927	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2532.426	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2533.426	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b follow			POINT
2535.925	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b flee			POINT
2540.426	E:/Yael female GFP 7-27-21/Yellow (1 & 2)/yellow 2/GH040267.MP4	4245.840	59.94	yellow female 2	b flee			POINT
