,Behavior,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,avg,sterr,stderr
0,Border Fight,Aggressive,0.007957183264268997,0.024309914280379607,0.008506597226882786,0.0,0.0,0.01752516423238641,0.02329538717935458,0.011656320883324625,0.0,0.003858721178687997
1,Chase,Aggressive,0.40148554604617126,0.2573487988437996,0.4331004505532364,0.29233671727607563,0.3210775257435489,0.1804925639544016,0.21806374976134088,0.30055790745408206,0.0,0.03495934935092513
2,Dig Substrate,Reproductive,0.2303491141492756,0.2199428464122434,0.08922643096513262,0.06868486658880643,0.15368663453216372,0.25298631480989797,0.26256267071455325,0.18249126831029613,0.0,0.02990218540330985
3,Foraging,Reproductive,0.17673244840397548,0.08125096515955572,0.1714809197191984,0.3597705731740185,0.2234390160577773,0.07516427831912026,0.16223608998198163,0.1785820415450896,0.0,0.036296084465389795
4,Lateral Side Display,Aggressive,0.001281743672922281,0.0030008054878635747,0.0051341592730298645,0.000631681789596622,0.0,0.0,0.003003629849935379,0.0018645742961925316,0.0,0.0007252527453779178
5,Lead,Reproductive,0.1316753683517033,0.23762537658037336,0.14716860623794767,0.1398144820770821,0.20996214192126006,0.37089281235846994,0.13156410851586922,0.19552898514895795,0.0,0.03321808027525136
6,Pot,Reproductive,0.02240800254866949,0.03491362124636972,0.03790665002259466,0.04019180666606731,0.055720983786175335,0.023066485753052948,0.051594968641681414,0.0379717883806587,0.0,0.004828757022914547
7,Pot Dig,Reproductive,0.014622364346894916,0.024356726200308924,0.0233609839688952,0.0,0.0,0.007938090063010553,0.1019502998341769,0.02460406634475521,0.0,0.013427189515106278
8,Quiver,Reproductive,0.009846458620310262,0.016272791889807965,0.005134718549639114,0.0,0.010985697749525925,0.07193429050966017,0.023441226879258373,0.019659312028314547,0.0,0.009164399047173498
9,Scrape,Reproductive,0.003641770595808415,0.10097815389929808,0.0789804834834432,0.0,0.0,0.0,0.022287868641848355,0.02941261094577115,0.0,0.016101467057772566
10,Boarder Fight,Aggressive,0.0,0.0,0.0,0.0007714940256940209,0.0,0.0,0.0,0.00011021343224200298,0.0,0.00011021343224200297
11,Dig Pot,Reproductive,0.0,0.0,0.0,0.09252032611625201,0.02512800020954866,0.0,0.0,0.016806903760828665,0.0,0.01310590837407785
12,Scraping,Aggressive,0.0,0.0,0.0,0.005278052286407254,0.0,0.0,0.0,0.0007540074694867506,0.0,0.0007540074694867505
