,Behavior,Behavior next,Behavioral category,Counts_0,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5,Counts_6,avg,sterr,stderr
0,Border Fight,Chase,Aggressive,3.0,8.0,1.0,0.0,0.0,0.0,3.0,2.142857142857143,0.0,1.1004019055515566
1,Border Fight,Dig Substrate,Aggressive,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.4364357804719847
2,Chase,Border Fight,Aggressive,3.0,12.0,3.0,0.0,0.0,0.0,4.0,3.142857142857143,0.0,1.6099182385120918
3,Chase,Chase,Aggressive,77.0,52.0,111.0,45.0,52.0,11.0,53.0,57.285714285714285,0.0,11.589638816251197
4,Chase,Dig Substrate,Aggressive,15.0,5.0,7.0,6.0,12.0,5.0,15.0,9.285714285714286,0.0,1.7281187915832432
5,Chase,Foraging,Aggressive,26.0,5.0,19.0,20.0,23.0,0.0,14.0,15.285714285714286,0.0,3.6234309294755804
6,Chase,Lead,Aggressive,13.0,29.0,24.0,13.0,14.0,9.0,18.0,17.142857142857142,0.0,2.667516871268746
7,Chase,Pot,Aggressive,6.0,1.0,5.0,5.0,3.0,1.0,6.0,3.857142857142857,0.0,0.8288997707394861
8,Chase,Quiver,Aggressive,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.1428571428571428,0.0,0.5084322977157767
9,Dig Substrate,Border Fight,Reproductive,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.18442777839082938
10,Dig Substrate,Chase,Reproductive,17.0,8.0,11.0,7.0,17.0,6.0,14.0,11.428571428571429,0.0,1.7573944844996128
11,Dig Substrate,Dig Substrate,Reproductive,95.0,98.0,31.0,20.0,29.0,49.0,115.0,62.42857142857143,0.0,14.78070998819414
12,Dig Substrate,Foraging,Reproductive,9.0,6.0,4.0,5.0,14.0,3.0,18.0,8.428571428571429,0.0,2.1253251051829904
13,Dig Substrate,Lateral Side Display,Reproductive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714288
14,Dig Substrate,Lead,Reproductive,7.0,10.0,4.0,0.0,4.0,6.0,11.0,6.0,0.0,1.4309504001254019
15,Foraging,Chase,Reproductive,16.0,11.0,19.0,16.0,20.0,1.0,15.0,14.0,0.0,2.4299715851758235
16,Foraging,Dig Substrate,Reproductive,15.0,7.0,7.0,6.0,14.0,3.0,17.0,9.857142857142858,0.0,2.028705562299123
17,Foraging,Foraging,Reproductive,106.0,22.0,57.0,94.0,73.0,6.0,79.0,62.42857142857143,0.0,13.91275047754182
18,Foraging,Lead,Reproductive,9.0,3.0,9.0,9.0,13.0,2.0,4.0,7.0,0.0,1.5275252316519468
19,Foraging,Pot,Reproductive,2.0,0.0,1.0,5.0,2.0,0.0,2.0,1.7142857142857142,0.0,0.6441785361175563
20,Foraging,Scrape,Reproductive,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.4592214648091883
