,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,avg,sterr,stderr
0,Border Fight,Chase,Aggressive,0.0057251908396946565,0.0149812734082397,0.0021008403361344537,0.0,0.0,0.0,0.004975124378109453,0.003968918423168323,0.0,0.002047737204299207
1,Border Fight,Dig Substrate,Aggressive,0.0019083969465648854,0.003745318352059925,0.0,0.0,0.0,0.0055248618784530384,0.004975124378109453,0.002307671650741043,0.0,0.0009215399984102752
2,Chase,Border Fight,Aggressive,0.0057251908396946565,0.02247191011235955,0.0063025210084033615,0.0,0.0,0.0,0.006633499170812604,0.005876160161610024,0.0,0.0030070743131630807
3,Chase,Chase,Aggressive,0.14694656488549618,0.09737827715355805,0.23319327731092437,0.11479591836734694,0.13,0.06077348066298342,0.087893864013267,0.12442591177051086,0.0,0.02103235822968232
4,Chase,Dig Substrate,Aggressive,0.02862595419847328,0.009363295880149813,0.014705882352941176,0.015306122448979591,0.03,0.027624309392265192,0.024875621890547265,0.02150016945190805,0.0,0.003100518206801697
5,Chase,Foraging,Aggressive,0.04961832061068702,0.009363295880149813,0.03991596638655462,0.05102040816326531,0.0575,0.0,0.02321724709784411,0.03294789116264298,0.0,0.00844077590377816
6,Chase,Lead,Aggressive,0.02480916030534351,0.054307116104868915,0.05042016806722689,0.03316326530612245,0.035,0.049723756906077346,0.029850746268656716,0.039610601851185125,0.0,0.004397708843234502
7,Chase,Pot,Aggressive,0.011450381679389313,0.0018726591760299626,0.01050420168067227,0.012755102040816327,0.0075,0.0055248618784530384,0.009950248756218905,0.008508207887368545,0.0,0.0014367896830301246
8,Chase,Quiver,Aggressive,0.0057251908396946565,0.0056179775280898875,0.0021008403361344537,0.0,0.0,0.0,0.001658374792703151,0.0021574833566603067,0.0,0.0009626362326369055
9,Dig Substrate,Border Fight,Reproductive,0.0019083969465648854,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0005401508746564069,0.0,0.0003486876936485888
10,Dig Substrate,Chase,Reproductive,0.03244274809160305,0.0149812734082397,0.023109243697478993,0.017857142857142856,0.0425,0.03314917127071823,0.02321724709784411,0.026750975203289565,0.0,0.0036669065410915324
11,Dig Substrate,Dig Substrate,Reproductive,0.18129770992366412,0.18352059925093633,0.06512605042016807,0.05102040816326531,0.0725,0.27071823204419887,0.19071310116086235,0.14498515728044215,0.0,0.031306617952254
12,Dig Substrate,Foraging,Reproductive,0.01717557251908397,0.011235955056179775,0.008403361344537815,0.012755102040816327,0.035,0.016574585635359115,0.029850746268656716,0.01871361755209053,0.0,0.003760520657718991
13,Dig Substrate,Lateral Side Display,Reproductive,0.0019083969465648854,0.0,0.0,0.0,0.0,0.0,0.0,0.0002726281352235551,0.0,0.0002726281352235551
14,Dig Substrate,Lead,Reproductive,0.013358778625954198,0.018726591760299626,0.008403361344537815,0.0,0.01,0.03314917127071823,0.01824212271973466,0.014554289388749217,0.0,0.003929770098685978
15,Foraging,Chase,Reproductive,0.030534351145038167,0.020599250936329586,0.03991596638655462,0.04081632653061224,0.05,0.0055248618784530384,0.024875621890547265,0.03032376839536213,0.0,0.005624217995082905
16,Foraging,Dig Substrate,Reproductive,0.02862595419847328,0.013108614232209739,0.014705882352941176,0.015306122448979591,0.035,0.016574585635359115,0.028192371475953566,0.021644790049130926,0.0,0.0032981579476060756
17,Foraging,Foraging,Reproductive,0.20229007633587787,0.04119850187265917,0.11974789915966387,0.23979591836734693,0.1825,0.03314917127071823,0.1310116086235489,0.13567045366140215,0.0,0.029754586894312395
18,Foraging,Lead,Reproductive,0.01717557251908397,0.0056179775280898875,0.018907563025210083,0.02295918367346939,0.0325,0.011049723756906077,0.006633499170812604,0.016406217096224574,0.0,0.0036167072892038664
19,Foraging,Pot,Reproductive,0.003816793893129771,0.0,0.0021008403361344537,0.012755102040816327,0.005,0.0,0.003316749585406302,0.0038556408364981217,0.0,0.0016447111325758003
20,Foraging,Scrape,Reproductive,0.0019083969465648854,0.0056179775280898875,0.004201680672268907,0.0,0.0,0.0,0.0,0.0016754364495605255,0.0,0.0008891965314914166
21,Lateral Side Display,Chase,Aggressive,0.0019083969465648854,0.0018726591760299626,0.0021008403361344537,0.0,0.0,0.0,0.003316749585406302,0.001314092292019372,0.0,0.0004994120200375807
