Observation id	A2C.1							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4							
								
Observation date	2021-06-13 14:29:58							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
300.405	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
525.155	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
527.653	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
528.404	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
530.154	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
531.403	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
533.151	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
555.401	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
556.403	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
561.653	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
563.152	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
564.652	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
566.651	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lateral Side Display	Aggressive		POINT
570.652	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
572.653	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
572.906	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
574.654	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
576.406	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
605.153	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
607.155	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
614.908	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
619.403	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
636.903	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
670.903	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
672.902	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
674.152	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
679.154	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
680.902	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
683.655	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Quiver	Reproductive		POINT
685.402	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
688.152	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Lead	Reproductive		POINT
688.402	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
726.903	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Entry/Exit Pot	Reproductive		POINT
727.653	C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4	2126.290	30.0	Dominant	Chase	Aggressive		POINT
