Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
313.664	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Chase	Aggressive		POINT
320.439	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Chase	Aggressive		POINT
324.589	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
327.864	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
330.014	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
330.014	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lateral Side Display	Aggressive		POINT
339.713	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
340.313	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
340.313	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lateral Side Display	Aggressive		POINT
340.713	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
341.739	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
345.414	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
374.664	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Dig Substrate	Reproductive		POINT
377.964	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lead	Reproductive		POINT
379.214	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Charge	Aggressive		POINT
379.489	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Chase	Aggressive		POINT
385.864	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Foraging	Reproductive		POINT
390.839	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Border Fight	Aggressive		POINT
392.064	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lead	Reproductive		POINT
394.314	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lead	Reproductive		POINT
396.139	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Lead	Reproductive		POINT
399.664	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Foraging	Reproductive		POINT
404.739	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Foraging	Reproductive		POINT
418.539	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Foraging	Reproductive		POINT
419.689	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
423.339	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
424.864	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
425.364	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
425.864	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
426.664	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
432.439	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Foraging	Reproductive		POINT
432.439	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/2.avi	2109.103	59.94	Dominant	Scrape	Aggressive		POINT
