,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,300.405,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
1,525.155,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
2,527.653,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
3,528.404,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
4,530.154,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
5,531.403,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
6,533.151,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
7,555.401,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
8,556.403,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
9,561.653,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
10,563.152,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
11,564.652,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
12,566.651,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lateral Side Display,Aggressive,,POINT
13,570.652,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
14,572.653,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
15,572.906,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
16,574.654,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
17,576.406,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
18,605.153,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
19,607.155,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
20,614.908,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
21,619.403,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
22,636.903,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
23,670.903,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
24,672.902,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
25,674.152,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
26,679.154,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
27,680.902,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
28,683.655,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
29,685.402,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
30,688.152,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
31,688.402,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
32,726.903,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
33,727.653,C:/Users/Kimberly/Desktop/Video Stitching/AC2 Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
