,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
3,328.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
4,331.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
5,332.152,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
6,332.409,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
7,350.161,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
8,356.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
9,359.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
10,369.155,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
11,369.91,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
12,371.909,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
13,373.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
14,377.902,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
15,378.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
16,382.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Scrape,Aggressive,,POINT
17,383.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Scrape,Aggressive,,POINT
18,390.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
19,397.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
20,397.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
21,399.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
22,401.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
23,402.401,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
24,402.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Fleeing Male,Subordinate,,POINT
25,405.409,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
26,406.407,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
27,407.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
28,409.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
29,413.407,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
30,423.158,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
31,423.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
33,424.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
34,428.91,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
35,433.904,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
36,435.411,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
38,438.902,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
39,448.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
40,448.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
41,451.404,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
42,458.658,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
43,460.155,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
44,461.155,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
45,466.663,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
47,480.902,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
48,486.408,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
49,487.657,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
50,489.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
51,489.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
52,490.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
54,491.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
56,492.162,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
57,503.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
58,530.654,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
59,537.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
61,541.902,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
62,543.404,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Border Fight,Aggressive,,POINT
63,543.404,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
65,544.901,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
66,547.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
67,550.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
69,550.651,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
71,553.651,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
73,555.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
74,560.401,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
75,563.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
76,565.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
