,Behavior,Behavioral category,duration_0,duration_1,duration_2,duration_3,avg,stderr
0,Border Fight,Aggressive,13.249000000000024,0.0,0.0,0.0,3.312250000000006,3.312250000000006
1,Chase,Aggressive,539.7699999999995,0.0,911.4910000000011,0.0,362.81525000000016,222.79061048638457
2,Dig Substrate,Reproductive,20.249000000000024,0.0,111.22800000000052,0.0,32.869250000000136,26.5520551664557
3,Entry/Exit Pot,Reproductive,440.244,0.0,226.9819999999998,0.0,166.80649999999997,105.68742202480861
4,Foraging,Reproductive,4.5,0.0,108.50299999999947,0.0,28.25074999999987,26.771769189997382
5,Lateral Side Display,Aggressive,17.002000000000066,0.0,45.25999999999976,0.0,15.565499999999957,10.678625235331818
6,Lead,Reproductive,316.7420000000004,303.12,189.25500000000017,318.0670000000001,281.79600000000016,31.031379298488606
7,Pot Dig,Reproductive,46.249000000000024,0.0,111.007,0.0,39.31400000000001,26.266521254885152
8,Quiver,Reproductive,97.49200000000019,0.0,33.01099999999974,0.0,32.62574999999998,22.97944359050429
9,Scrape,Aggressive,68.75099999999952,0.0,24.254999999999995,0.0,23.25149999999988,16.20821812384065
10,Fleeing Female,Subordinate,0.0,0.0,1.006999999999607,0.0,0.2517499999999018,0.2517499999999018
11,Fleeing Male,Subordinate,0.0,0.0,4.75100000000009,0.0,1.1877500000000225,1.1877500000000225
