,Behavior,Behavioral category,prob_0,prob_1,prob_2,prob_3,avg,stderr
0,Border Fight,Aggressive,0.008469884570733046,0.0,0.0,0.0,0.0021174711426832616,0.0021174711426832616
1,Chase,Aggressive,0.34506676690652605,0.0,0.5159139663223438,0.0,0.21524518330721745,0.1290724404233093
2,Dig Substrate,Reproductive,0.012944878305741817,0.0,0.0629562756473754,0.0,0.018975288488279302,0.01497446778376747
3,Entry/Exit Pot,Reproductive,0.28144130598217165,0.0,0.1284743172491862,0.0,0.10247890580783947,0.06689989683805374
4,Foraging,Reproductive,0.002876781686791353,0.0,0.06141389557096332,0.0,0.016072669314438667,0.015128944792762462
5,Lateral Side Display,Aggressive,0.010869120497517062,0.0,0.025617659544360974,0.0,0.00912169501046951,0.0060661697241356305
6,Lead,Reproductive,0.2024883522305929,1.0,0.1071204188481676,1.0,0.5774021927696902,0.24476232486201144
7,Pot Dig,Reproductive,0.029566283607202967,0.0,0.06283118720815055,0.0,0.02309936770383838,0.014965516081586512
8,Quiver,Reproductive,0.06232515560192514,0.0,0.018684590349511664,0.0,0.020252436487859203,0.014699473353814874
9,Scrape,Aggressive,0.04395147061079799,0.0,0.013728597707655292,0.0,0.01442001707961332,0.010362024390231853
10,Fleeing Female,Subordinate,0.0,0.0,0.0005699731144755098,0.0,0.00014249327861887745,0.00014249327861887745
11,Fleeing Male,Subordinate,0.0,0.0,0.0026891184378095875,0.0,0.0006722796094523969,0.0006722796094523968
