,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,avg,stderr
0,Border Fight,Chase,Aggressive,0.009009009009009009,0.0,0.0029498525073746312,0.0,0.00298971537909591,0.0021234853611389985
1,Border Fight,Lateral Side Display,Aggressive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
2,Border Fight,Lead,Aggressive,0.009009009009009009,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522
3,Border Fight,Scrape,Aggressive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
4,Chase,Border Fight,Aggressive,0.02252252252252252,0.0,0.0029498525073746312,0.0,0.006368093757474288,0.005429511781127798
5,Chase,Chase,Aggressive,0.26576576576576577,0.0,0.24188790560471976,0.0,0.1269134178426214,0.07343542436324496
6,Chase,Dig Substrate,Aggressive,0.009009009009009009,0.0,0.02654867256637168,0.0,0.008889420393845172,0.00625770910295706
7,Chase,Entry/Exit Pot,Aggressive,0.036036036036036036,0.0,0.08259587020648967,0.0,0.029657976560631426,0.01958377596735353
8,Chase,Foraging,Aggressive,0.0045045045045045045,0.0,0.008849557522123894,0.0,0.0033385155066570993,0.002121761964651889
9,Chase,Lateral Side Display,Aggressive,0.0045045045045045045,0.0,0.008849557522123894,0.0,0.0033385155066570993,0.002121761964651889
10,Chase,Lead,Aggressive,0.06306306306306306,0.0,0.035398230088495575,0.0,0.024615323287889658,0.015292503757355132
11,Chase,Quiver,Aggressive,0.018018018018018018,0.0,0.011799410029498525,0.0,0.007454357011879136,0.0044870674954031855
12,Chase,Scrape,Aggressive,0.04054054054054054,0.0,0.0029498525073746312,0.0,0.010872598261978794,0.009913725692480344
13,Dig Substrate,Chase,Reproductive,0.009009009009009009,0.0,0.02064896755162242,0.0,0.0074144941401578564,0.004895943991838382
14,Dig Substrate,Entry/Exit Pot,Reproductive,0.0045045045045045045,0.0,0.0058997050147492625,0.0,0.0026010523798134415,0.0015284847115696614
15,Entry/Exit Pot,Chase,Reproductive,0.04954954954954955,0.0,0.07374631268436578,0.0,0.030823965558478834,0.01846891326008463
16,Entry/Exit Pot,Entry/Exit Pot,Reproductive,0.06756756756756757,0.0,0.07079646017699115,0.0,0.03459100693613968,0.01998200006081692
17,Entry/Exit Pot,Lead,Reproductive,0.03153153153153153,0.0,0.02064896755162242,0.0,0.013045124770788487,0.007852368116955574
18,Entry/Exit Pot,Pot Dig,Reproductive,0.013513513513513514,0.0,0.032448377581120944,0.0,0.011490472773658614,0.007677827366721575
19,Foraging,Quiver,Reproductive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
20,Lateral Side Display,Chase,Aggressive,0.018018018018018018,0.0,0.011799410029498525,0.0,0.007454357011879136,0.0044870674954031855
21,Lead,Border Fight,Reproductive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
22,Lead,Chase,Reproductive,0.06306306306306306,0.0,0.038348082595870206,1.0,0.2753527864147333,0.24189717123470814
23,Lead,Dig Substrate,Reproductive,0.0045045045045045045,0.0,0.0029498525073746312,0.0,0.001863589252969784,0.0011217668738507964
24,Lead,Entry/Exit Pot,Reproductive,0.03153153153153153,0.16666666666666666,0.014749262536873156,0.0,0.05323686518376783,0.038354596362435996
25,Lead,Lateral Side Display,Reproductive,0.009009009009009009,0.0,0.0029498525073746312,0.0,0.00298971537909591,0.0021234853611389985
26,Lead,Lead,Reproductive,0.11261261261261261,0.8333333333333334,0.014749262536873156,0.0,0.24017380212070477,0.1992924494323193
27,Pot Dig,Entry/Exit Pot,Reproductive,0.009009009009009009,0.0,0.02654867256637168,0.0,0.008889420393845172,0.00625770910295706
28,Pot Dig,Quiver,Reproductive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
29,Quiver,Chase,Reproductive,0.013513513513513514,0.0,0.008849557522123894,0.0,0.005590767758909352,0.003365300621552389
30,Quiver,Entry/Exit Pot,Reproductive,0.009009009009009009,0.0,0.0058997050147492625,0.0,0.003727178505939568,0.0022435337477015927
31,Quiver,Lead,Reproductive,0.0045045045045045045,0.0,0.008849557522123894,0.0,0.0033385155066570993,0.002121761964651889
32,Scrape,Chase,Aggressive,0.04054054054054054,0.0,0.0029498525073746312,0.0,0.010872598261978794,0.009913725692480344
33,Scrape,Lead,Aggressive,0.0045045045045045045,0.0,0.0,0.0,0.0011261261261261261,0.0011261261261261261
34,Chase,Fleeing Female,Aggressive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
35,Chase,Fleeing Male,Aggressive,0.0,0.0,0.0058997050147492625,0.0,0.0014749262536873156,0.0014749262536873156
36,Chase,Pot Dig,Aggressive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
37,Dig Substrate,Dig Substrate,Reproductive,0.0,0.0,0.032448377581120944,0.0,0.008112094395280236,0.008112094395280236
38,Dig Substrate,Foraging,Reproductive,0.0,0.0,0.0058997050147492625,0.0,0.0014749262536873156,0.0014749262536873156
39,Dig Substrate,Lead,Reproductive,0.0,0.0,0.0058997050147492625,0.0,0.0014749262536873156,0.0014749262536873156
40,Entry/Exit Pot,Foraging,Reproductive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
41,Entry/Exit Pot,Quiver,Reproductive,0.0,0.0,0.011799410029498525,0.0,0.0029498525073746312,0.0029498525073746312
42,Entry/Exit Pot,Scrape,Reproductive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
43,Fleeing Female,Chase,Subordinate,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
44,Fleeing Male,Chase,Subordinate,0.0,0.0,0.0058997050147492625,0.0,0.0014749262536873156,0.0014749262536873156
45,Foraging,Chase,Reproductive,0.0,0.0,0.017699115044247787,0.0,0.004424778761061947,0.004424778761061947
46,Foraging,Dig Substrate,Reproductive,0.0,0.0,0.0058997050147492625,0.0,0.0014749262536873156,0.0014749262536873156
47,Foraging,Entry/Exit Pot,Reproductive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
48,Foraging,Foraging,Reproductive,0.0,0.0,0.02064896755162242,0.0,0.005162241887905605,0.005162241887905605
49,Lead,Foraging,Reproductive,0.0,0.0,0.008849557522123894,0.0,0.0022123893805309734,0.0022123893805309734
50,Lead,Quiver,Reproductive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
51,Pot Dig,Chase,Reproductive,0.0,0.0,0.008849557522123894,0.0,0.0022123893805309734,0.0022123893805309734
52,Pot Dig,Pot Dig,Reproductive,0.0,0.0,0.05309734513274336,0.0,0.01327433628318584,0.01327433628318584
53,Quiver,Dig Substrate,Reproductive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
54,Scrape,Entry/Exit Pot,Aggressive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
55,Scrape,Scrape,Aggressive,0.0,0.0,0.0029498525073746312,0.0,0.0007374631268436578,0.0007374631268436578
