,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,304.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
1,527.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
2,528.16,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
3,556.653,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
4,563.152,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
5,564.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
6,566.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
7,570.652,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
8,571.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
9,575.153,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
10,636.408,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Female,Subordinate,,POINT
11,671.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
12,674.155,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
13,678.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
14,678.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
15,680.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
16,684.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
17,727.403,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
18,833.654,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
19,843.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
20,845.407,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
21,921.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Female,Subordinate,,POINT
22,955.657,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
23,959.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
24,962.152,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
25,1003.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
26,1005.655,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
27,1014.408,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
28,1065.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
29,1131.403,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
30,1137.153,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
31,1137.902,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
32,1138.653,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
33,1141.153,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
34,1142.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
35,1144.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
36,1212.653,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
37,1271.152,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
38,1272.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
39,1278.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
40,1314.659,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
41,1318.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
42,1325.906,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
43,1333.654,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
