,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,0.0,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
1,0.0,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Pot Dig,Reproductive,,POINT
2,304.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
32,424.157,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
37,435.903,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
46,468.409,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
53,490.658,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
55,491.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
60,537.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
64,543.903,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
68,550.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
70,551.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
72,553.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
