,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,avg,stderr
0,Dig Substrate,Dig Substrate,Reproductive,0.2304147465437788,0.0,,0.1152073732718894,0.11520737327188939
1,Dig Substrate,Entry/Exit Pot,Reproductive,0.009216589861751152,0.0,,0.004608294930875576,0.004608294930875576
2,Dig Substrate,Fleeing Male,Reproductive,0.059907834101382486,0.0,,0.029953917050691243,0.02995391705069124
3,Dig Substrate,Foraging,Reproductive,0.009216589861751152,0.0,,0.004608294930875576,0.004608294930875576
4,Entry/Exit Pot,Dig Substrate,Reproductive,0.004608294930875576,0.0,,0.002304147465437788,0.002304147465437788
5,Entry/Exit Pot,Entry/Exit Pot,Reproductive,0.009216589861751152,0.0,,0.004608294930875576,0.004608294930875576
6,Entry/Exit Pot,Fleeing Male,Reproductive,0.009216589861751152,0.0,,0.004608294930875576,0.004608294930875576
7,Fleeing Male,Dig Substrate,Subordinate,0.05069124423963134,0.0,,0.02534562211981567,0.02534562211981567
8,Fleeing Male,Entry/Exit Pot,Subordinate,0.004608294930875576,0.0,,0.002304147465437788,0.002304147465437788
9,Fleeing Male,Fleeing Male,Subordinate,0.2350230414746544,0.9669421487603306,,0.6009825951174925,0.3659595536428381
10,Fleeing Male,Foraging,Subordinate,0.059907834101382486,0.0,,0.029953917050691243,0.02995391705069124
11,Foraging,Dig Substrate,Reproductive,0.02304147465437788,0.0,,0.01152073732718894,0.011520737327188939
12,Foraging,Fleeing Male,Reproductive,0.03686635944700461,0.0,,0.018433179723502304,0.018433179723502304
13,Foraging,Foraging,Reproductive,0.24423963133640553,0.0,,0.12211981566820276,0.12211981566820276
14,Foraging,Quiver,Reproductive,0.004608294930875576,0.0,,0.002304147465437788,0.002304147465437788
15,Pot Dig,Fleeing Male,Reproductive,0.004608294930875576,0.0,,0.002304147465437788,0.002304147465437788
16,Quiver,Fleeing Male,Reproductive,0.004608294930875576,0.0,,0.002304147465437788,0.002304147465437788
17,Fleeing Female,Fleeing Male,Subordinate,0.0,0.01652892561983471,,0.008264462809917356,0.008264462809917356
18,Fleeing Male,Fleeing Female,Subordinate,0.0,0.01652892561983471,,0.008264462809917356,0.008264462809917356
