,Behavior,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,avg,sterr,stderr
0,Border Fight,Aggressive,0.024281154805266745,0.022660513826650547,0.04670719842216706,0.016974251655984054,0.04761163618348456,0.011148907391399726,0.0,0.04357684696569927,0.0,0.0,0.0,0.018249358773532207,0.0,0.005140921068917524
1,Chase,Aggressive,0.28717892793008926,0.13110042631662658,0.26062417729487936,0.06627727715891416,0.40045716552987204,0.1135851625588404,0.013539803605791446,0.2342249340369393,0.41493792262498586,0.19758941751261805,0.18498820235834715,0.21359004209356458,0.0,0.03294787641748149
2,Dig Substrate,Reproductive,0.15312511359753403,0.45845998818814865,0.0949209102475489,0.18497600524738828,0.0002745623716927709,0.022863825899235492,0.27879997640509374,0.0,0.17648043454162496,0.20211647505971284,0.0,0.1327032619350395,0.0,0.03769163928922343
3,Foraging,Reproductive,0.19930278377572785,0.13433255811108263,0.1153807886522825,0.30370652554643535,0.04262512316944736,0.042417242568514514,0.13085323411600913,0.006939313984168816,0.1701125152422128,0.36703239552965633,0.0,0.1316927126516358,0.0,0.03222696870588872
4,Lateral Side Display,Aggressive,0.009092164860011631,0.007962433419308603,0.014802748880680701,0.008767399263313094,0.016300565236786767,0.0,0.0,0.002475263852242743,0.0016633410930052286,0.001458207939779697,0.0037209082559866487,0.006081238916701031,0.0,0.0014943989758862235
5,Lead,Reproductive,0.17921728572778767,0.1413401446117603,0.1842903494212999,0.3222570015371815,0.35718317639618524,0.6914500409812206,0.33728640766433743,0.47672823218997384,0.08333943021837946,0.153611726637009,0.566899567961208,0.3261323243873337,0.0,0.0542622182044098
6,Pot,Reproductive,0.01988774746086777,0.01480485420371774,0.11255706656922672,0.002737476657824351,0.08991287439949763,0.06954042808579636,0.11379645386361031,0.11770613456464386,0.08805897350626313,0.0057201877176523185,0.05485977196147999,0.05879457603176368,0.0,0.011950550670846148
7,Pot Dig,Reproductive,0.026763215482707655,0.022938014474522813,0.09307100688100611,0.018422749390370405,0.006308906233388191,0.03105671084277992,0.02924321562962217,0.032844656992084435,0.0,0.0,0.01953772144572047,0.02511439494620233,0.0,0.006436314717045231
8,Quiver,Reproductive,0.009290642471300715,0.018193810011600503,0.025826447190585723,0.042315990031747464,0.014202711426726855,0.017937681672212918,0.0743662485990524,0.07625989445910257,0.0,0.05424006742950807,0.15882519704571688,0.05073650229650551,0.0,0.014926969601861196
9,Scrape,Reproductive,0.09186096388870665,0.04820725683658168,0.05181930644032294,0.033565323510841405,0.025123279052918474,0.0,0.022114660116483224,0.009244722955145111,0.0,0.0,0.011168630971540906,0.030471826048675994,0.0,0.008914459930165798
10,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06540738277352864,0.018231522174063645,0.0,0.0064337619190455615,0.0,0.005109318611090875
