,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,avg,sterr,stderr
0,Border Fight,Chase,Aggressive,0.016470588235294122,0.04523809523809524,0.026143790849673203,0.010714285714285714,0.03773584905660377,0.006134969325153374,0.0028011204481792717,0.006329113924050633,0.0,0.0,0.0,0.012926030848202265,0.0,0.004179318807887711
1,Border Fight,Lateral Side Display,Aggressive,0.0023529411764705885,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004993535875888818,0.0,0.00026578183890818726
2,Border Fight,Lead,Aggressive,0.0023529411764705885,0.004761904761904762,0.029411764705882353,0.005357142857142857,0.024528301886792454,0.003067484662576687,0.0,0.006329113924050633,0.0,0.0,0.0,0.006012430396253148,0.0,0.0026658607021484418
3,Border Fight,Scrape,Aggressive,0.0023529411764705885,0.011904761904761904,0.0,0.007142857142857143,0.005660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0022626060583885222,0.0,0.0010417695746863383
4,Chase,Border Fight,Aggressive,0.018823529411764708,0.030952380952380953,0.029411764705882353,0.01607142857142857,0.052830188679245285,0.006134969325153374,0.0,0.006329113924050633,0.0,0.0,0.0,0.013798223460128508,0.0,0.0045175476060229725
5,Chase,Chase,Aggressive,0.08470588235294119,0.09047619047619047,0.058823529411764705,0.010714285714285714,0.18867924528301888,0.009202453987730062,0.008403361344537815,0.13291139240506328,0.27058823529411763,0.0642504118616145,0.11594202898550726,0.09502653295809385,0.0,0.020626779048875214
6,Chase,Dig Substrate,Aggressive,0.011764705882352943,0.014285714285714285,0.00980392156862745,0.0035714285714285713,0.0,0.003067484662576687,0.0028011204481792717,0.0,0.02823529411764706,0.004942339373970346,0.0,0.006941285753296119,0.0,0.002267843335209218
7,Chase,Foraging,Aggressive,0.028235294117647063,0.011904761904761904,0.013071895424836602,0.023214285714285715,0.016981132075471698,0.003067484662576687,0.0,0.0,0.02823529411764706,0.05601317957166392,0.0,0.01607374013127213,0.0,0.004613035029013358
8,Chase,Lateral Side Display,Aggressive,0.004705882352941177,0.004761904761904762,0.00980392156862745,0.0035714285714285713,0.009433962264150943,0.0,0.0,0.006329113924050633,0.002352941176470588,0.0016474464579901153,0.014492753623188408,0.005869076205914018,0.0,0.0013526498380590079
9,Chase,Lead,Aggressive,0.04235294117647059,0.023809523809523808,0.029411764705882353,0.008928571428571428,0.08867924528301886,0.03987730061349693,0.008403361344537815,0.02531645569620253,0.023529411764705882,0.02471169686985173,0.028985507246376815,0.03194955602780663,0.0,0.0055697855760003965
10,Chase,Quiver,Aggressive,0.0023529411764705885,0.002380952380952381,0.006535947712418301,0.0035714285714285713,0.0018867924528301887,0.006134969325153374,0.0028011204481792717,0.0,0.0,0.0032948929159802307,0.014492753623188408,0.004638268723558486,0.0,0.00132171115779491
